,n_clients,repartition,federated_accuracy,federated_min,federated_max,federated_var,local_accuracy,local_min,local_max,local_var,execution_time,centralise_accuracy
0,2.0,0.9,0.9565217391304348,0.9360032362459547,0.978640776699029,0.0005035851373571709,0.9591304347826087,0.9379449838187701,0.979611650485437,0.0004757000083786307,1917.9340229034424,0.958772
1,2.0,0.8,0.9495652173913042,0.9326086956521739,0.9586956521739131,0.00021266540642722083,0.9573913043478262,0.9434782608695652,0.9706521739130434,0.00028650756143667257,1760.8424253463745,0.958772
2,2.0,0.7,0.9547826086956522,0.9201785714285714,0.9730357142857142,0.0009685905612244892,0.9547826086956521,0.9192857142857143,0.9755357142857143,0.0011268335459183683,1744.841945886612,0.964035
3,2.0,0.8,0.9600000000000002,0.942391304347826,0.975,0.0005316635160680527,0.9556521739130435,0.9347826086956523,0.9739130434782609,0.0005789224952741017,1975.9047167301178,0.955263
4,2.0,0.5,0.9482456140350877,0.9315789473684211,0.9649122807017545,0.0005309325946445053,0.95,0.9315789473684208,0.968421052631579,0.0006232686980609413,1681.9646286964417,0.962281
5,2.0,0.5,0.9596491228070174,0.9473684210526316,0.9719298245614034,0.00021545090797168322,0.9526315789473685,0.9385964912280702,0.9666666666666668,0.0003385657125269311,1679.0854878425598,0.971053
6,4.0,0.5,0.9439655172413792,0.9103448275862067,0.9793103448275862,0.0009289536266349591,0.9362068965517242,0.886206896551724,0.9758620689655173,0.0017241379310344838,1633.663953781128,0.957018
7,6.0,0.5,0.949137931034483,0.8857894736842106,0.99,0.0018282163742690059,0.9379310344827587,0.865,1.0,0.0027679670667897817,1843.241061925888,0.955263
8,8.0,0.5,0.9358974358974359,0.8423809523809525,1.0,0.0028513676303854865,0.9188034188034189,0.8209523809523809,0.9933333333333334,0.003512223639455781,1882.7244610786438,0.967544
9,10.0,0.5,0.9491666666666667,0.8333333333333333,1.0,0.003673611111111111,0.9225,0.7916666666666666,1.0,0.005243055555555555,1871.0582818984985,0.958772
